Site,Lat,Long,precip
Lower Capilano FW,49.38694,-123.11968,3185
Capilano FW,49.44496,-123.10402,3787
Capilano above Lakehead,49.39646858,123.1454241,3645
Lower Seymour FW,49.37925,-122.99552,3175
Seymour FW,49.48584,-122.94626,3186
Seymour at Orchid ,49.52026,-123.00398,3404
Orchid Lake,49.53588,-123.05076,4296
Palisade Lake,49.45446,-123.03179,5015
Coquitlam FW,49.36409,-122.75339,3045
Cedar Creek,49.38081,-122.77678,3745
Upper Coquitlam,49.487555,-122.792449,4026
Disappointment Lake,49.55448,-122.75861,4646
Squamish,49.78321,-123.16119,2378
DNV Fire Hall 4,49.31557,-122.96305,2496
Grouse Mountain ,49.38003,-123.08069,2965
DNV Muni. Hall,49.3362,-123.07815,2376
Burns Bog,49.1258,-123.0022,1405
Pitt Meadows,49.2083,-122.69,1922
Van Harbour,49.2954,-123.1219,1566
Van Sea Island,49.1825,-123.1872,1398
ECCC - West Van,49.34704,-123.19331,2088
Hastings Creek,49.35889,-123.0356,2551
Westwood Plateau,49.31067,-122.8086,2340
WV Muni. Hall,49.33123,-123.15971,2135
Seymour Falls Dam,49.44029,-122.96769,3820
Port Moody ,49.28021,-122.83411,2155
Maple Ridge ,49.2207,-122.53886,1890
DNV LV Firehall,49.3347,-123.04354,2354
Burke Mtn Firehall,49.29529,-122.7426,2153
Central Park ,49.22541,-123.01327,1751
Cleveland Dam,49.36032,-123.11064,2246
Coquitlam Dam,49.35326,-122.77482,3486
Seycove Marina,49.33192,-122.9396,2467
Hesketh - Capilano,49.4616,-123.1311,4120
Mt Strachan - Cypress,49.40431,-123.19144,3315
UBC Research Forest,49.265,-122.5733,2285
Stave River Upper,49.623667,-122.402056,3002
Stanley Park,49.300171,-123.13707,1382
Cloverdale,49.104089,-122.76757,1348
Delta - Ferry Road,49.11183,-123.0779,1555
Vancouver - Harbour East,49.28405,-123.0773,1828
Coquitlam - Brunette,49.23469,-122.8773,1783
